parameter,problem,a,b,observed_difference,simultaneous_difference_bounds,beyond_10pp_supported,original_cell_parse_eligible
PD,S2,paraphrase_1,paraphrase_3,-0.12408163265306127,"[-0.4662586658621146, 0.2446734251036936]",False,True
PD,S2,paraphrase_2,paraphrase_3,-0.26,"[-0.5917006656219437, 0.16019271458497997]",False,True
PD,S3,hybrid,paraphrase_1,-0.07999999999999999,"[-0.44757309744118, 0.31492906992320013]",False,True
PD,S3,hybrid,paraphrase_2,-0.5,"[-0.8254378767361328, -0.0060108950785850435]",False,True
PD,S3,hybrid,paraphrase_3,0.1,"[-0.2098917205994802, 0.3767136964201795]",False,True
PD,S3,paraphrase_1,paraphrase_2,-0.42000000000000004,"[-0.7877069607117273, 0.08890221641498941]",False,True
PD,S3,paraphrase_1,paraphrase_3,0.18,"[-0.17216080457507474, 0.47162680791375394]",False,True
PD,S3,paraphrase_2,paraphrase_3,0.6,"[0.1487791604267104, 0.8494915872087067]",True,True
TfA,S1,hybrid,paraphrase_1,0.040000000000000036,"[-0.15552125387101357, 0.23436057058602922]",False,True
TfA,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
TfA,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
TfA,S1,paraphrase_1,paraphrase_2,-0.040000000000000036,"[-0.23436057058602922, 0.15552125387101357]",False,True
TfA,S1,paraphrase_1,paraphrase_3,-0.040000000000000036,"[-0.23436057058602922, 0.15552125387101357]",False,True
TfA,S1,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
TfA,S2,hybrid,paraphrase_1,-0.039999999999999994,"[-0.2665309785084314, 0.19636325689110273]",False,True
TfA,S2,hybrid,paraphrase_2,-0.02,"[-0.23435640349395695, 0.19820582733818043]",False,True
TfA,S2,hybrid,paraphrase_3,-0.12000000000000001,"[-0.3771246688420823, 0.17415211686560653]",False,True
TfA,S2,paraphrase_1,paraphrase_2,0.019999999999999997,"[-0.2321028606249764, 0.2661200060865286]",False,True
TfA,S2,paraphrase_1,paraphrase_3,-0.08000000000000002,"[-0.3748711259731018, 0.24206629561395465]",False,True
TfA,S2,paraphrase_2,paraphrase_3,-0.1,"[-0.3767136964201795, 0.2098917205994802]",False,True
TfA,S3,hybrid,paraphrase_1,-0.14,"[-0.4986682075271482, 0.2664752077695519]",False,True
TfA,S3,hybrid,paraphrase_2,-0.07999999999999996,"[-0.47388720125650446, 0.3410979910819577]",False,True
TfA,S3,hybrid,paraphrase_3,-0.06000000000000005,"[-0.46405261369871603, 0.3644341585423888]",False,True
TfA,S3,paraphrase_1,paraphrase_2,0.06000000000000005,"[-0.30949917039373676, 0.4089029599767863]",False,True
TfA,S3,paraphrase_1,paraphrase_3,0.07999999999999996,"[-0.2996645828359483, 0.4322391274372174]",False,True
TfA,S3,paraphrase_2,paraphrase_3,0.019999999999999907,"[-0.3742873661483541, 0.40745812116657365]",False,True
ID,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S1,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S1,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
ID,S2,hybrid,paraphrase_1,0.08000000000000002,"[-0.24206629561395465, 0.3748711259731018]",False,True
ID,S2,hybrid,paraphrase_2,0.14,"[-0.13146754339843963, 0.3771288359341547]",False,True
ID,S2,hybrid,paraphrase_3,-0.32,"[-0.6836414859805133, 0.15183665566025037]",False,True
ID,S2,paraphrase_1,paraphrase_2,0.06,"[-0.15367868342393584, 0.2665351456005038]",False,True
ID,S2,paraphrase_1,paraphrase_3,-0.4,"[-0.7058526260060095, 0.04124296532659946]",False,True
ID,S2,paraphrase_2,paraphrase_3,-0.46,"[-0.7081103359670624, -0.06935578688891555]",False,True
ID,S3,hybrid,paraphrase_1,-0.18,"[-0.6268281541103605, 0.3271607931186382]",False,True
ID,S3,hybrid,paraphrase_2,-0.26000000000000006,"[-0.6831833370470508, 0.250407064917734]",False,True
ID,S3,hybrid,paraphrase_3,0.21999999999999997,"[-0.2552279898223456, 0.6209875162464681]",False,True
ID,S3,paraphrase_1,paraphrase_2,-0.08000000000000007,"[-0.5317521577056606, 0.39864324656806616]",False,True
ID,S3,paraphrase_1,paraphrase_3,0.39999999999999997,"[-0.10379681048095546, 0.7692236978968002]",False,True
ID,S3,paraphrase_2,paraphrase_3,0.48000000000000004,"[-0.027043082280051256, 0.8255788808334905]",False,True
MS,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
MS,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
MS,S1,hybrid,paraphrase_3,0.040000000000000036,"[-0.15552125387101357, 0.23436057058602922]",False,True
MS,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
MS,S1,paraphrase_1,paraphrase_3,0.040000000000000036,"[-0.15552125387101357, 0.23436057058602922]",False,True
MS,S1,paraphrase_2,paraphrase_3,0.040000000000000036,"[-0.15552125387101357, 0.23436057058602922]",False,True
MS,S2,hybrid,paraphrase_1,-0.07999999999999999,"[-0.4953074226941978, 0.36239510642753414]",False,True
MS,S2,hybrid,paraphrase_2,0.2,"[-0.13642120084120107, 0.47203778033565674]",False,True
MS,S2,hybrid,paraphrase_3,-0.19999999999999998,"[-0.6105020654589361, 0.2779320884178668]",False,True
MS,S2,paraphrase_1,paraphrase_2,0.27999999999999997,"[-0.08897412585196066, 0.55750302161308]",False,True
MS,S2,paraphrase_1,paraphrase_3,-0.12,"[-0.5630549904696958, 0.36339732969529004]",False,True
MS,S2,paraphrase_2,paraphrase_3,-0.39999999999999997,"[-0.6726976643778183, 0.004511107842293333]",False,True
MS,S3,hybrid,paraphrase_1,-0.14,"[-0.5695552713589285, 0.3367049420423615]",False,True
MS,S3,hybrid,paraphrase_2,-0.28,"[-0.637360240253757, 0.1723169111795938]",False,True
MS,S3,hybrid,paraphrase_3,-0.040000000000000036,"[-0.5043656883714294, 0.4377982821074831]",False,True
MS,S3,paraphrase_1,paraphrase_2,-0.14,"[-0.4986682075271482, 0.2664752077695519]",False,True
MS,S3,paraphrase_1,paraphrase_3,0.09999999999999998,"[-0.3656736556448205, 0.5319565786974412]",False,True
MS,S3,paraphrase_2,paraphrase_3,0.24,"[-0.2012856247820528, 0.5997615475922697]",False,True
AW,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
AW,S1,hybrid,paraphrase_2,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
AW,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
AW,S1,paraphrase_1,paraphrase_2,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
AW,S1,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
AW,S1,paraphrase_2,paraphrase_3,-0.020000000000000018,"[-0.1986209668521557, 0.15593222629291636]",False,True
AW,S2,hybrid,paraphrase_1,0.020000000000000004,"[-0.2855812245289456, 0.3187622270826471]",False,True
AW,S2,hybrid,paraphrase_2,0.1,"[-0.14512987758681814, 0.32454550864826165]",False,True
AW,S2,hybrid,paraphrase_3,-0.07999999999999999,"[-0.41519516557360614, 0.28266578098262746]",False,True
AW,S2,paraphrase_1,paraphrase_2,0.08,"[-0.1501531118193742, 0.2963877403271162]",False,True
AW,S2,paraphrase_1,paraphrase_3,-0.09999999999999999,"[-0.4202183998061622, 0.254508012661482]",False,True
AW,S2,paraphrase_2,paraphrase_3,-0.18,"[-0.42600168137177674, 0.11405666571935458]",False,True
AW,S3,hybrid,paraphrase_1,-0.4,"[-0.7195015270872174, 0.05497170258759998]",False,True
AW,S3,hybrid,paraphrase_2,-0.31999999999999995,"[-0.6925170697295189, 0.16054651397973474]",False,True
AW,S3,hybrid,paraphrase_3,-0.31999999999999995,"[-0.6925170697295189, 0.16054651397973474]",False,True
AW,S3,paraphrase_1,paraphrase_2,0.08000000000000007,"[-0.26362000140380326, 0.3961792701536364]",False,True
AW,S3,paraphrase_1,paraphrase_3,0.08000000000000007,"[-0.26362000140380326, 0.3961792701536364]",False,True
AW,S3,paraphrase_2,paraphrase_3,0.0,"[-0.369194812795938, 0.369194812795938]",False,True
